$\lambda_M$,$M_\mathrm{min}$,$M_\mathrm{max}$,$\lambda_\mu$,$\mu_\mathrm{min}$,$\mu_\mathrm{max}$,$\mu_a$,$\sigma_a$,$R$
0.9436370777690495,0.18597800471327572,0.4276315789473684,0.0,0.43097014925373134,0.9836017282010998,0.1740966221523959,0.5803220738413197,1.0
0.533559486309668,0.6315725708747274,0.9468136661012843,0.02180760843227526,0.1556820935304095,0.5352556336321783,0.24642597528471044,0.7276472013569178,0.9979403925369518
1.0,0.8141058450199611,0.2069812672740301,0.018835090592691166,0.14801924454908383,0.8940526154161121,0.21854846964888935,0.22356433616542123,1.0
0.6607314212602623,0.9714255251092867,0.3113338308988165,0.0,0.13988698155453674,0.9387994455698901,0.6032626079539396,0.011621708071222946,1.0
0.9974429784187379,0.2440421397156592,0.020047049197095223,0.0,0.5134499335174388,0.8540452081415567,0.4382734990283318,0.23565510892911937,1.0
0.8905149051490515,0.0006504065040650406,0.354579945799458,0.26579945799457994,0.11382113821138211,0.036314363143631435,0.5473170731707317,0.24065040650406505,1.0
0.9800928313563693,0.09118102114492006,0.2632284682826199,0.0,0.002269210933470861,0.5965961835997937,0.03115007735946364,0.5476018566271273,1.0
0.9663512092534174,0.13517934338123613,0.10258207734548429,0.0023367215796237877,0.8337422596097674,0.9265101063208319,0.0880944035518168,0.15574249328192546,1.0
0.9997195737521032,0.05730042998691344,0.8088427743503459,0.0,0.11469433538979248,0.534679379323238,0.21331089923350158,0.8150121518040755,1.0
1.0,0.01575902653101935,0.9848394175144624,0.0,0.6340514661879114,0.3304408537801716,0.6438260522641133,0.1395372032714941,1.0
0.7905708787684413,0.7891810989950823,0.39715629677143466,0.0,0.41575796450716274,0.6777849048535386,0.7763523626256147,0.7254650416933932,1.0
1.0,0.2573048827374087,0.6092848904267589,0.0002883506343713956,0.31968473663975394,0.7149173394848135,0.21760861207227988,0.19309880815071126,1.0
1.0,0.05669259107654523,0.8262382316823578,0.0,0.5424682767089644,0.32664756446991405,0.3589848546868604,0.31569791240278344,1.0
0.03185204212689442,0.1416645260724377,0.5595941433341896,0.0025687130747495505,0.7840996660673003,0.2125610069355253,0.645517595684562,0.7048548677112767,1.0
1.0,0.24051663951594135,0.6304398417500582,0.05608564114498487,0.19536886199674192,0.9811496392832209,0.30986734931347454,0.41098440772632067,1.0
0.9979971960745043,0.9221910674944923,0.3872421389945924,0.0001001401962747847,0.5615862207089926,0.9075705988383738,0.5253354696575205,0.05307430402563589,1.0
0.9771598808341608,0.7591857000993049,0.5231380337636544,0.0,0.04707050645481629,0.23853028798411122,0.7044687189672294,0.39185700099304865,1.0
0.9956107660455487,0.5341614906832298,0.26028985507246377,0.0,0.05300207039337474,0.2234368530020704,0.29333333333333333,0.469399585921325,1.0
1.0,0.33252511257360584,0.9881076088211523,0.13843667013046992,0.13797482969633992,0.9810645422006696,0.27548781895854985,0.13566562752568986,1.0
0.1556822982678496,0.33396704689480355,0.1268483312209548,0.0,0.4082171525137305,0.3614279678918462,0.35857625686523026,0.8713561470215463,1.0
1.0,0.052668751891837354,0.34940974674603975,0.0,0.9051558873978408,0.9420845525174049,0.9748763999596408,0.6905458581374231,1.0
0.347225152985862,0.6480270099177041,0.9514665541253429,0.0,0.3191601603713864,0.9844903988183161,0.3662165013715974,0.03576703945980165,1.0
1.0,0.03164132379248658,0.2512298747763864,0.0,0.5451699463327371,0.8610241502683363,0.7960644007155635,0.604762969588551,1.0
0.9991018300213316,0.9933759964073201,0.3166049174806332,0.21118221623442238,0.45368811047490737,0.39541933310879085,0.3899180419894465,0.20983496126641968,1.0
0.7394284610928751,0.3783548947673296,0.7343116431743579,0.0,0.11556284997103689,0.4268198493917745,0.07308360687391388,0.017860590847653988,1.0
0.3268224997331626,0.05133952396200235,0.7834347315615328,0.26779805742341767,0.04664318497171523,0.9652043974810546,0.3021667200341552,0.44241647988045685,0.9917814067669976
1.0,0.0077547558463589,0.7405791833272749,0.020235066036592753,0.46976856900521025,0.22040470132073187,0.18163092208893736,0.8183690779110626,1.0
1.0,0.09617169373549884,0.569953596287703,0.008352668213457077,0.19327146171693735,0.5475638051044084,0.2796983758700696,0.1470997679814385,1.0
0.9737121614445035,0.2569038767923526,0.5685077004779607,0.0,0.20631970260223048,0.33882103027084437,0.9693308550185874,0.9811471056824217,1.0
0.9093319647592165,0.7089213925241639,0.4191258232828672,0.0,0.06552048584381148,0.029766487041313832,0.4584723291420751,0.9310580788640835,1.0
1.0,0.49512811259473116,0.25839047275351856,0.08312281968001925,0.1394201852520149,0.9038854805725971,0.733188981113918,0.6614940454709491,1.0
0.9700310998020921,0.18886061634153237,0.21392894166431062,0.01790594665912732,0.00018848364904344549,0.017246253887475263,0.7503534068419565,0.14673452078032231,1.0
0.9971949509116409,0.016362786348761104,0.47113136979897147,0.0007012622720897616,0.8738896680691912,0.9952080411407199,0.06334735857877513,0.9568723702664796,1.0
0.9683022571148184,0.7490677134445535,0.5227674190382728,0.0,0.030225711481844945,0.26947988223748776,0.4108930323846909,0.8184494602551521,1.0
1.0,0.2708268973329214,0.42446709916589437,0.0010297600659046442,0.004222016270209041,0.652558953763773,0.6143548553187107,0.30089589125733707,1.0
1.0,0.08430091920657959,0.7304063860667634,0.235607160135462,0.19061441702951137,0.6875907111756169,0.14138848572810836,0.9851233671988389,1.0
0.7423175416133163,0.4148527528809219,0.14308578745198464,0.0,0.0,0.13358941527955612,0.9256295347844644,0.5790653008962868,1.0
0.7750027385255779,0.04973162449337277,0.26147442217110306,0.0007667871617920911,0.30145689560740496,0.9221163325665461,0.8998795048745756,0.6088290064629204,0.9553072625698324
0.9732636148382005,0.15509076558800317,0.08316890292028413,0.010556432517758485,0.0009865824782951855,0.659037095501184,0.17788082083662193,0.292817679558011,0.9969415943172849
0.8642730102267675,0.8519341929746554,0.08592707870164518,0.0030013339261894174,0.6072698977323254,0.8962872387727879,0.22109826589595374,0.7870164517563362,0.8787238772787905
0.32579908675799085,0.6568493150684932,0.552054794520548,0.0,0.1569634703196347,0.09383561643835617,0.9875570776255708,0.6876712328767123,1.0
0.9999063670411985,0.8418539325842697,0.6754681647940075,9.363295880149813e-05,0.0,0.5424157303370787,0.31348314606741573,0.548501872659176,1.0
0.8684611477907568,0.523717623158964,0.402133062468258,0.022651091924834943,0.1361097003555104,0.6744540375825292,0.4649060436769934,0.3037074657186389,0.9994921279837481
1.0,0.31943984090155786,0.6648160424262513,0.0016572754391779914,0.4007292011932383,0.6978786874378522,0.33029499502817367,0.15860125952933377,1.0
